country,state,city,lng,lat
Argentina,"Buenos Aires, Ciudad Autónoma de",Buenos Aires,-58.4353,-34.6064
Argentina,Córdoba,Córdoba,-64.1811,-31.4135
Argentina,Santa Fe,Rosario,-60.6393,-32.9468
Argentina,Mendoza,Mendoza,-68.8272,-32.8908
Argentina,Tucumán,San Miguel de Tucumán,-65.2226,-26.8241
Argentina,Buenos Aires,La Plata,-57.9545,-34.9215
Argentina,Buenos Aires,Mar del Plata,-57.5575,-38.0023
Argentina,Salta,Salta,-65.4117,-24.7859
Argentina,Santa Fe,Santa Fe,-60.7010,-31.6295
Argentina,San Juan,San Juan,-68.5364,-31.5375
Argentina,San Luis,San Luis,-66.3356,-33.2950
Argentina,Chaco,Resistencia,-58.9839,-27.4606
Argentina,Misiones,Posadas,-55.8961,-27.3671
Argentina,Santiago del Estero,Santiago del Estero,-64.2615,-27.7951
Argentina,Corrientes,Corrientes,-58.8341,-27.4806
Argentina,Jujuy,San Salvador de Jujuy,-65.2971,-24.1946
Argentina,Buenos Aires,Bahía Blanca,-62.2724,-38.7196
Argentina,Entre Ríos,Paraná,-60.5238,-31.7320
Argentina,Neuquén,Neuquén,-68.0591,-38.9516
Argentina,Formosa,Formosa,-58.1781,-26.1775
Argentina,La Rioja,La Rioja,-66.8507,-29.4110
Argentina,Córdoba,Río Cuarto,-64.3499,-33.1307
Argentina,Entre Ríos,Concordia,-58.0209,-31.3930
Argentina,Chubut,Comodoro Rivadavia,-67.4966,-45.8641
Argentina,Mendoza,San Martín,-68.4681,-33.0810
Argentina,La Pampa,Santa Rosa,-64.2833,-36.6167
Argentina,Mendoza,San Rafael,-68.3301,-34.6177
Argentina,Buenos Aires,Tandil,-59.1332,-37.3217
Argentina,Río Negro,San Carlos de Bariloche,-71.3014,-41.1403
Argentina,Chubut,Trelew,-65.3133,-43.2501
Argentina,Córdoba,Villa María,-63.2402,-32.4075
Argentina,Santa Fe,Reconquista,-59.6500,-29.1500
Argentina,Buenos Aires,Zárate,-59.0286,-34.0981
Argentina,Santa Fe,Rafaela,-61.4867,-31.2503
Argentina,Buenos Aires,Pergamino,-60.5736,-33.8899
Argentina,Buenos Aires,Olavarría,-60.3225,-36.8927
Argentina,Santa Cruz,Río Gallegos,-69.2181,-51.6226
Argentina,Buenos Aires,Junín,-60.9433,-34.5838
Argentina,Chaco,Presidencia Roque Sáenz Peña,-60.4388,-26.7852
Argentina,Buenos Aires,Luján,-59.1050,-34.5703
Argentina,Buenos Aires,Campana,-58.9591,-34.1687
Argentina,Buenos Aires,Necochea,-58.7368,-38.5473
Argentina,Entre Ríos,Gualeguaychú,-58.5172,-33.0094
Argentina,Salta,San Ramón de la Nueva Orán,-64.3246,-23.1340
Argentina,Río Negro,General Roca,-67.5833,-39.0333
Argentina,Santa Fe,Venado Tuerto,-61.9688,-33.7456
Argentina,Corrientes,Goya,-59.2626,-29.1400
Argentina,Córdoba,Villa Carlos Paz,-64.4978,-31.4241
Argentina,Entre Ríos,Concepción del Uruguay,-58.2372,-32.4825
Argentina,Mendoza,Las Heras,-68.8284,-32.8527
Argentina,Chubut,Puerto Madryn,-65.0385,-42.7692
Argentina,Salta,Tartagal,-63.8013,-22.5164
Argentina,Río Negro,Viedma,-62.9967,-40.8135
Argentina,Córdoba,San Francisco,-62.0827,-31.4280
Argentina,Jujuy,San Pedro,-64.8661,-24.2313
Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Ushuaia,-68.3000,-54.8000
Argentina,Buenos Aires,Punta Alta,-62.0736,-38.8759
Argentina,La Pampa,General Pico,-63.7568,-35.6566
Argentina,Buenos Aires,Chivilcoy,-60.0167,-34.8957
Argentina,Buenos Aires,Azul,-59.8585,-36.7770
Argentina,Córdoba,Río Tercero,-64.1141,-32.1730
Argentina,Buenos Aires,Mercedes,-59.4307,-34.6515
Argentina,San Luis,Villa Mercedes,-65.4614,-33.6744
Argentina,Jujuy,Libertador General San Martín,-64.7876,-23.8064
Argentina,Neuquén,Cutral-Có,-69.2089,-38.9469
Argentina,Corrientes,San Lorenzo,-58.7673,-28.1331
Argentina,Buenos Aires,Tres Arroyos,-60.2798,-38.3739
Argentina,Santa Fe,Empalme Villa Constitución,-60.3794,-33.2604
Argentina,Córdoba,Alta Gracia,-64.4283,-31.6529
Argentina,Córdoba,Bell Ville,-62.6887,-32.6259
Argentina,Buenos Aires,Nueve de Julio,-60.8831,-35.4444
Argentina,Buenos Aires,Chacabuco,-60.4739,-34.6417
Argentina,Entre Ríos,Gualeguay,-59.3097,-33.1416
Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Río Grande,-67.7095,-53.7877
Argentina,Corrientes,Mercedes,-58.0790,-29.1819
Argentina,Chaco,Villa Ángela,-60.7153,-27.5738
Argentina,Buenos Aires,Coronel Suárez,-61.9334,-37.4547
Argentina,Chubut,Rawson,-65.1023,-43.3002
Argentina,Buenos Aires,Dolores,-57.6792,-36.3132
Argentina,Entre Ríos,Victoria,-60.1539,-32.6199
