city,lat,lng,country,iso2,admin,capital,population,population_proper,id
Buenos Aires,-34.606389,-58.435278,Argentina,AR,"Buenos Aires, Ciudad Autónoma de",primary,12795000,10929146,1
Córdoba,-31.413496,-64.181052,Argentina,AR,Córdoba,admin,1452000,1296935,2
Rosario,-32.946818,-60.639317,Argentina,AR,Santa Fe,minor,1203000,986569,3
Mendoza,-32.890845,-68.827171,Argentina,AR,Mendoza,admin,893000,762630,4
San Miguel de Tucumán,-26.824144,-65.2226,Argentina,AR,Tucumán,admin,830000,527607,5
La Plata,-34.921454,-57.954533,Argentina,AR,Buenos Aires,admin,694253,186524,6
Mar del Plata,-38.002278,-57.557539,Argentina,AR,Buenos Aires,minor,555897,553935,7
Salta,-24.785896,-65.411664,Argentina,AR,Salta,admin,512686,456606,8
Santa Fe,-31.629484,-60.701036,Argentina,AR,Santa Fe,admin,489505,297503,9
San Juan,-31.5375,-68.536389,Argentina,AR,San Juan,admin,447048,420736,10
San Luis,-33.295012,-66.335627,Argentina,AR,San Luis,admin,432310,183982,11
Resistencia,-27.46056,-58.983886,Argentina,AR,Chaco,admin,387158,349753,12
Posadas,-27.367077,-55.896078,Argentina,AR,Misiones,admin,357119,312060,13
Santiago del Estero,-27.795112,-64.261489,Argentina,AR,Santiago del Estero,admin,354692,280407,14
Corrientes,-27.480596,-58.834099,Argentina,AR,Corrientes,admin,340823,339067,15
San Salvador de Jujuy,-24.194565,-65.297116,Argentina,AR,Jujuy,admin,305891,211587,16
Bahía Blanca,-38.719595,-62.272432,Argentina,AR,Buenos Aires,minor,281536,276546,17
Paraná,-31.731967,-60.523802,Argentina,AR,Entre Ríos,admin,262295,191409,18
Neuquén,-38.951606,-68.059102,Argentina,AR,Neuquén,admin,242092,185555,19
Formosa,-26.177534,-58.178139,Argentina,AR,Formosa,admin,221383,183161,20
La Rioja,-29.411048,-66.850668,Argentina,AR,La Rioja,admin,162620,131640,21
Río Cuarto,-33.130671,-64.349918,Argentina,AR,Córdoba,minor,153757,118162,22
Concordia,-31.392959,-58.02089,Argentina,AR,Entre Ríos,minor,145210,120311,23
Comodoro Rivadavia,-45.864135,-67.496558,Argentina,AR,Chubut,minor,140850,105732,24
San Martín,-33.081031,-68.468138,Argentina,AR,Mendoza,minor,117399,82549,25
Santa Rosa,-36.616667,-64.283333,Argentina,AR,La Pampa,admin,111424,83963,26
San Rafael,-34.617717,-68.330066,Argentina,AR,Mendoza,minor,109163,49884,27
Tandil,-37.321674,-59.133164,Argentina,AR,Buenos Aires,minor,104325,65274,28
San Carlos de Bariloche,-41.140293,-71.301369,Argentina,AR,Río Negro,minor,95394,88512,29
Trelew,-43.250075,-65.313295,Argentina,AR,Chubut,,93442,92815,30
Villa María,-32.407514,-63.240161,Argentina,AR,Córdoba,minor,92453,60949,31
Reconquista,-29.15,-59.65,Argentina,AR,Santa Fe,minor,90184,83097,32
Zárate,-34.098142,-59.028585,Argentina,AR,Buenos Aires,minor,88781,83603,33
Rafaela,-31.250332,-61.486696,Argentina,AR,Santa Fe,minor,88713,50585,34
Pergamino,-33.889949,-60.573568,Argentina,AR,Buenos Aires,minor,87652,55244,35
Olavarría,-36.892715,-60.32254,Argentina,AR,Buenos Aires,minor,86320,43798,36
Río Gallegos,-51.622613,-69.218127,Argentina,AR,Santa Cruz,admin,85700,68666,37
Junín,-34.583816,-60.943318,Argentina,AR,Buenos Aires,minor,85007,47276,38
Presidencia Roque Sáenz Peña,-26.785221,-60.438761,Argentina,AR,Chaco,minor,81879,70037,39
Luján,-34.570278,-59.105,Argentina,AR,Buenos Aires,minor,81749,57740,40
Campana,-34.168742,-58.95914,Argentina,AR,Buenos Aires,minor,81612,72687,41
Necochea,-38.547259,-58.736753,Argentina,AR,Buenos Aires,minor,80478,60646,42
Gualeguaychú,-33.009375,-58.51722,Argentina,AR,Entre Ríos,minor,78676,33045,43
San Ramón de la Nueva Orán,-23.13398,-64.324645,Argentina,AR,Salta,minor,74059,64864,44
General Roca,-39.033333,-67.583333,Argentina,AR,Río Negro,,73212,3944,45
Venado Tuerto,-33.745564,-61.968845,Argentina,AR,Santa Fe,,72340,31818,46
Goya,-29.14003,-59.262564,Argentina,AR,Corrientes,minor,72304,70245,47
Villa Carlos Paz,-31.424138,-64.497778,Argentina,AR,Córdoba,,69451,51061,48
Concepción del Uruguay,-32.482493,-58.237217,Argentina,AR,Entre Ríos,minor,67895,28655,49
Las Heras,-32.85273,-68.828373,Argentina,AR,Mendoza,minor,66663,66663,50
Puerto Madryn,-42.769201,-65.038513,Argentina,AR,Chubut,minor,64555,57763,51
Tartagal,-22.516365,-63.801314,Argentina,AR,Salta,minor,60819,59174,52
Viedma,-40.813452,-62.996676,Argentina,AR,Río Negro,admin,59122,48940,53
San Francisco,-31.427971,-62.082656,Argentina,AR,Córdoba,minor,59062,27400,54
San Pedro,-24.231266,-64.866141,Argentina,AR,Jujuy,minor,58430,52068,55
Ushuaia,-54.8,-68.3,Argentina,AR,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",admin,58028,42939,56
Punta Alta,-38.875875,-62.073589,Argentina,AR,Buenos Aires,minor,57209,54730,57
General Pico,-35.656622,-63.756815,Argentina,AR,La Pampa,minor,57029,35937,58
Chivilcoy,-34.895661,-60.016667,Argentina,AR,Buenos Aires,minor,54514,32924,59
Azul,-36.776976,-59.858539,Argentina,AR,Buenos Aires,minor,53941,32874,60
